微星 PRO B760M-E DDR4(M-ATX/LAN 1Gb/註冊四年/2DIMM)6+1+1相供電,$2590 ◆ ★ 熱賣
微星 PRO B760M-B DDR4(M-ATX/LAN 2.5Gb/註冊四年/2DIMM)6+1相供電,$2790 ◆ ★
微星 PRO B760M-P DDR4(M-ATX/LAN 1Gb/註冊四年/4DIMM)8相供電,$2990 ◆ ★
微星 PRO B760M-A DDR4 II(M-ATX/LAN 2.5Gb/註冊四年)14相電源,$3590 ◆ ★ ↓任搭100↓
微星 B760M BOMBER DDR4(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相供電,$2790 ◆ ★ ↓任搭100↓
微星 B760M BOMBER WIFI DDR4(M-ATX/LAN 2.5Gb+無線/註四年/2DIMM)6+1+1相,$3190 ◆ ★
微星 B760M GAMING PLUS WIFI DDR4(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相*任搭到 10/31,$4090 ◆ ★ ↓任搭300↓
微星 PRO B760-P DDR4 II(ATX/LAN 2.5Gb/註冊四年)12+1+1相供電,$3690 ◆ ★ 熱賣
微星 B760 GAMING PLUS WIFI DDR4(ATX/LAN 2.5Gb+無線)12+1+1相 *任搭到10/31,$4290 ◆ ★ ↓任搭300↓
微星 B760 TOMAHAWK WIFI DDR4(ATX/LAN 2.5Gb+無線/註五年)12+1+1相,$4990 ★
華擎 B760M-ITX/D4 WiFi(Mini-ITX/LAN 1Gb+無線/註冊四年)5+1+1相,$4490 ◆ ★
華擎 B760M-HDV/M.2 D4(M-ATX/LAN 1Gb/註冊四年)5+1+1相,$2390 ◆ ★
華碩 B760M-AYW WIFI 阿唷喂(M-ATX/LAN 2.5Gb+無線/註四年/2DIMM)8相-獨家,$3590 ◆ ★
[任搭U]華碩 B760M-AYW WIFI 阿唷喂(M-ATX/LAN 2.5Gb+無線/2DIMM)8相,$3290 ◆ ★
華碩 PRIME B760M-F-CSM(M-ATX/LAN 1Gb/註四年/2DIMM)8相,$2990 ◆ ★
華碩 PRIME B760M-F-CSM(M-ATX/LAN 1Gb/註四年/2DIMM)8相-裝機價,$2690 ◆ ★ ↓任搭100↓
華碩 PRIME B760M-K-CSM(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相,$2990 ◆ ★ ↓任搭100↓
華碩 PRIME B760M-A-CSM(M-ATX/LAN 2.5Gb/註冊四年)8相供電,$3290 ◆ ★
華碩 PRIME B760M-A WIFI-CSM(M-ATX/LAN 2.5Gb+無線/註四年)10相,$4490 ◆ ★
[任搭U] 華碩 PRIME B760M-A WIFI-CSM(M-ATX/LAN 2.5Gb+無線/註四年)10相,$4090 ◆ ★
華碩 TUF GAMING B760M-PLUS WIFI II(M-ATX/LAN 2.5Gb+無線/註五年)12+1相,$4990 ◆ ★
[任搭U] 華碩 TUF GAMING B760M-PLUS WIFI II(M-ATX/LAN 2.5Gb+無線)12+1相,$4690 ◆ ★
華碩 TUF GAMING B760-PLUS WIFI(ATX/LAN 2.5Gb+無線)12+1相,$5790 ◆ ★
[任搭U]華碩 TUF GAMING B760-PLUS WIFI(ATX/LAN 2.5Gb+無線)12+1相,$4990 ◆ ★
華碩 ProArt B760-CREATOR WIFI(ATX/LAN 2.5Gb+Intel 1Gb+無線)12+1相,$7290 ◆ ★
